sheetFamilyIndex,baseImageId,state0,state1,state2,width,height,bitmapCategory,evidenceType,source,buildingId,category,slot,screenRect
21,1557,1557,1558,1559,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
22,1560,1560,1561,1562,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
23,1563,1563,1564,1565,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
24,1566,1566,1567,1568,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
25,1569,1569,1570,1571,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
26,1572,1572,1573,1574,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
27,1575,1575,1576,1577,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
28,1578,1578,1579,1580,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
29,1581,1581,1582,1583,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
30,1584,1584,1585,1586,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
31,1596,1596,1597,1598,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
32,1599,1599,1600,1601,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
33,1602,1602,1603,1604,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
34,1605,1605,1606,1607,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
35,1608,1608,1609,1610,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
36,1611,1611,1612,1613,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
37,1614,1614,1615,1616,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
38,1623,1623,1624,1625,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
39,1626,1626,1627,1628,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
40,1629,1629,1630,1631,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
41,1638,1638,1639,1640,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
42,1641,1641,1642,1643,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
43,1644,1644,1645,1646,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
44,1653,1653,1654,1655,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
