section,category,slot,buildingId,buildingName,nativeTool,imageId,frame,sharedFamily,screenRect,evidenceType,confidence,source,contradictions
native-inferred,,,124,inspector tower,,1560,0,,,inferred,low,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,catalog_building_not_in_classic_grid_filter
native-inferred,安全,4,127,瞭望塔,watchtower,1563,0,,"{""x"": 912, ""y"": 374, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 1, ""slot"": 4}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,行政,2,209,行政城,administrativeCity,1566,0,,"{""x"": 966, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 2, ""row"": 0, ""slot"": 2}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,行政,3,110,宫殿,palace,1569,0,,"{""x"": 858, ""y"": 374, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 1, ""slot"": 3}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,行政,1,125,税务所,taxOffice,1572,0,,"{""x"": 912, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 0, ""slot"": 1}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,农业,10,203,灌溉水车,irrigationPump,1575,0,,"{""x"": 912, ""y"": 480, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 3, ""slot"": 10}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,娱乐,0,211,音乐学校,musicSchool,1584,0,,"{""x"": 858, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 0, ""slot"": 0}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,娱乐,1,212,杂技学校,acrobatSchool,1587,0,,"{""x"": 912, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 0, ""slot"": 1}}",inferred,low,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,catalog_base_vs_index_family_start
native-inferred,娱乐,2,213,戏剧学校,dramaSchool,1590,0,,"{""x"": 966, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 2, ""row"": 0, ""slot"": 2}}",inferred,low,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,catalog_base_vs_index_family_start
native-inferred,宗教,0,214,祖先祠堂,ancestralShrine,1596,0,,"{""x"": 858, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 0, ""slot"": 0}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,宗教,2,215,道观,daoistShrine,1599,0,daoist_shrine_temple,"{""x"": 966, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 2, ""row"": 0, ""slot"": 2}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,宗教,3,216,道教大庙,bathhouse,1599,0,daoist_shrine_temple,"{""x"": 858, ""y"": 374, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 1, ""slot"": 3}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,tool_title_vs_model_semantics
native-inferred,宗教,4,218,佛塔,magistrate,1602,0,,"{""x"": 912, ""y"": 374, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 1, ""slot"": 4}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,tool_title_vs_model_semantics
native-inferred,宗教,1,219,儒家书院,confucianAcademy,1605,0,,"{""x"": 912, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 0, ""slot"": 1}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,军事,5,220,弩兵堡,fort,1608,0,,"{""x"": 966, ""y"": 374, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 2, ""row"": 1, ""slot"": 5}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,军事,1,221,步兵堡,barracks,1611,0,,"{""x"": 912, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 0, ""slot"": 1}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,军事,7,224,骑兵堡,cavalryFort,1614,0,,"{""x"": 912, ""y"": 427, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 2, ""slot"": 7}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,军事,8,225,战车堡,chariotFort,1617,0,,"{""x"": 966, ""y"": 427, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 2, ""row"": 2, ""slot"": 8}}",inferred,low,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,catalog_base_vs_index_family_start
native-inferred,军事,6,223,投石车堡,catapultFort,1620,0,,"{""x"": 858, ""y"": 427, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 2, ""slot"": 6}}",inferred,low,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,catalog_base_vs_index_family_start
native-inferred,美化,1,116,装饰雕塑,decorativeSculpture,1623,0,,"{""x"": 912, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 0, ""slot"": 1}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,美化,0,115,花园,garden,1626,0,,"{""x"": 858, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 0, ""slot"": 0}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,美化,2,117,华丽雕塑,ornateSculpture,1629,0,,"{""x"": 966, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 2, ""row"": 0, ""slot"": 2}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,美化,5,120,池塘,pond,1632,0,,"{""x"": 966, ""y"": 374, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 2, ""row"": 1, ""slot"": 5}}",inferred,low,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,catalog_base_vs_index_family_start
native-inferred,美化,6,121,太极园,taiChiPark,1635,0,,"{""x"": 858, ""y"": 427, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 2, ""slot"": 6}}",inferred,low,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,catalog_base_vs_index_family_start
native-inferred,美化,4,119,路亭,waysidePavilion,1638,0,,"{""x"": 912, ""y"": 374, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 1, ""slot"": 4}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,美化,3,118,花树,floweringTree,1641,0,,"{""x"": 858, ""y"": 374, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 1, ""slot"": 3}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,美化,7,122,私家园林,privateGarden,1644,0,,"{""x"": 912, ""y"": 427, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 2, ""slot"": 7}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,纪念,5,233,劳工营,laborersCamp,1647,0,,"{""x"": 966, ""y"": 374, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 2, ""row"": 1, ""slot"": 5}}",inferred,low,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,catalog_base_vs_index_family_start
native-inferred,纪念,6,52,木匠行会,carpentersGuild,1650,0,guild_camp,"{""x"": 858, ""y"": 427, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 2, ""slot"": 6}}",inferred,low,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,catalog_base_vs_index_family_start
native-inferred,纪念,7,235,石匠行会,masonsGuild,1650,0,guild_camp,"{""x"": 912, ""y"": 427, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 2, ""slot"": 7}}",inferred,low,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,catalog_base_vs_index_family_start
native-inferred,纪念,8,236,陶工行会,ceramistsGuild,1650,0,guild_camp,"{""x"": 966, ""y"": 427, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 2, ""row"": 2, ""slot"": 8}}",inferred,low,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,catalog_base_vs_index_family_start
native-inferred,纪念,14,93,大佛塔,grandPagoda,1653,0,,"{""x"": 966, ""y"": 533, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 2, ""row"": 4, ""slot"": 14}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,农业,0,,小麦农场,cropFarm,1497,0,crop_field,"{""x"": 858, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 0, ""slot"": 0}}",inferred,medium,OriginalConstructionButtonSpriteCatalog.cropImageID + ContentView cropOrder,crop_shares_sprite_across_crops
native-inferred,农业,1,,大豆农场,cropFarm,1497,0,crop_field,"{""x"": 912, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 0, ""slot"": 1}}",inferred,medium,OriginalConstructionButtonSpriteCatalog.cropImageID + ContentView cropOrder,crop_shares_sprite_across_crops
native-inferred,农业,2,,稻米农场,cropFarm,1500,0,crop_rice,"{""x"": 966, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 2, ""row"": 0, ""slot"": 2}}",inferred,medium,OriginalConstructionButtonSpriteCatalog.cropImageID + ContentView cropOrder,crop_shares_sprite_across_crops
native-inferred,农业,3,,小米农场,cropFarm,1497,0,crop_field,"{""x"": 858, ""y"": 374, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 1, ""slot"": 3}}",inferred,medium,OriginalConstructionButtonSpriteCatalog.cropImageID + ContentView cropOrder,crop_shares_sprite_across_crops
native-inferred,农业,4,,卷心菜农场,cropFarm,1497,0,crop_field,"{""x"": 912, ""y"": 374, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 1, ""slot"": 4}}",inferred,medium,OriginalConstructionButtonSpriteCatalog.cropImageID + ContentView cropOrder,crop_shares_sprite_across_crops
