category,slot,buildingId,imageId,frame,screenRect,evidenceType,source,comment
,,110,1569,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),palace
,,125,1572,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),tax office
,,203,1575,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),irrigation pump
,,211,1584,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),music school
,,212,1587,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),acrobat school
,,213,1590,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),drama school
,,214,1596,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),ancestral shrine
,,215,1599,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),Daoist shrine
,,216,1599,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),large Daoist temple shares the Daoist button family
,,218,1602,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),Buddhist pagoda
,,219,1605,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),Confucian academy
,,220,1608,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),crossbow fort
,,221,1611,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),infantry fort
,,224,1614,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),cavalry fort
,,225,1617,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),chariot fort
,,223,1620,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),catapult fort
,,116,1623,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),decorative sculpture
,,115,1626,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),garden
,,117,1629,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),ornate sculpture
,,120,1632,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),pond
,,121,1635,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),tai chi park
,,119,1638,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),wayside pavilion
,,118,1641,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),flowering tree
,,122,1644,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),private garden
,,233,1647,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),laborers camp
,,52,1650,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),carpenters guild
,,235,1650,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),masons guild shares the guild button family
,,236,1650,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),ceramists guild shares the guild button family
,,93,1653,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),grand pagoda
